sheet,invoice,amount_minor,lines,date,customer,country
Year 2009-2010,508471,18612,4,2010-05-16 11:28:00,13223,United Kingdom
Year 2009-2010,508472,78863,19,2010-05-16 11:35:00,18258,United Kingdom
Year 2009-2010,508473,8616,3,2010-05-16 11:37:00,18258,United Kingdom
Year 2009-2010,508474,21736,18,2010-05-16 11:52:00,17123,United Kingdom
Year 2009-2010,508475,12711,12,2010-05-16 12:07:00,17848,United Kingdom
Year 2009-2010,508477,17279,15,2010-05-16 12:15:00,15774,United Kingdom
Year 2009-2010,508479,23834,27,2010-05-16 12:18:00,15716,United Kingdom
Year 2009-2010,508480,14808,20,2010-05-16 12:34:00,13782,United Kingdom
Year 2009-2010,508481,55288,18,2010-05-16 12:41:00,14970,United Kingdom
Year 2009-2010,508482,111789,96,2010-05-16 12:44:00,13564,United Kingdom
Year 2009-2010,508483,73549,190,2010-05-16 12:51:00,17841,United Kingdom
Year 2009-2010,508484,15029,29,2010-05-16 12:54:00,17582,United Kingdom
Year 2009-2010,508485,15276,43,2010-05-16 12:56:00,16507,United Kingdom
Year 2009-2010,508486,39540,42,2010-05-16 12:57:00,16456,United Kingdom
Year 2009-2010,508487,13114,45,2010-05-16 13:10:00,18039,United Kingdom
Year 2009-2010,508488,7130,2,2010-05-16 13:14:00,13564,United Kingdom
Year 2009-2010,508489,3950,1,2010-05-16 13:20:00,13564,United Kingdom
Year 2009-2010,508490,62137,16,2010-05-16 13:22:00,14301,United Kingdom
Year 2009-2010,508491,32106,95,2010-05-16 13:22:00,16686,United Kingdom
Year 2009-2010,508492,18426,9,2010-05-16 13:23:00,14264,United Kingdom
Year 2009-2010,508493,20220,21,2010-05-16 13:27:00,17085,United Kingdom
Year 2009-2010,508494,148946,28,2010-05-16 13:49:00,12806,Netherlands
Year 2009-2010,508495,10093,12,2010-05-16 14:06:00,15373,United Kingdom
Year 2009-2010,508496,67866,58,2010-05-16 14:41:00,16208,United Kingdom
Year 2009-2010,508497,15606,9,2010-05-16 14:50:00,13957,United Kingdom
Year 2009-2010,508498,16834,13,2010-05-16 14:54:00,17905,United Kingdom
Year 2009-2010,508500,49198,59,2010-05-16 15:33:00,15272,United Kingdom
Year 2009-2010,508501,368100,31,2010-05-16 15:39:00,13798,United Kingdom
Year 2009-2010,508502,120914,21,2010-05-16 15:39:00,12731,France
Year 2009-2010,508503,23778,39,2010-05-16 15:52:00,14982,United Kingdom
Year 2009-2010,508504,128100,157,2010-05-16 16:05:00,13451,United Kingdom
Year 2009-2010,508505,9122,44,2010-05-16 16:05:00,16549,United Kingdom
Year 2009-2010,508506,18384,48,2010-05-16 16:21:00,13230,United Kingdom
Year 2009-2010,508507,20454,12,2010-05-17 08:20:00,13115,United Kingdom
Year 2009-2010,508508,64137,41,2010-05-17 09:03:00,14112,United Kingdom
Year 2009-2010,508509,35948,8,2010-05-17 09:04:00,13408,United Kingdom
Year 2009-2010,508510,0,1,2010-05-17 09:32:00,,United Kingdom
Year 2009-2010,508511,0,1,2010-05-17 09:35:00,,United Kingdom
Year 2009-2010,508512,0,1,2010-05-17 09:36:00,,United Kingdom
Year 2009-2010,508513,0,1,2010-05-17 09:37:00,,United Kingdom
Year 2009-2010,508514,0,1,2010-05-17 09:37:00,,United Kingdom
Year 2009-2010,508515,0,1,2010-05-17 09:38:00,,United Kingdom
Year 2009-2010,508516,0,1,2010-05-17 09:41:00,,United Kingdom
Year 2009-2010,508517,0,1,2010-05-17 09:43:00,,United Kingdom
Year 2009-2010,508518,0,1,2010-05-17 09:43:00,,United Kingdom
Year 2009-2010,508519,0,1,2010-05-17 09:44:00,,United Kingdom
Year 2009-2010,508520,1840,4,2010-05-17 10:04:00,,United Kingdom
Year 2009-2010,508521,39655,5,2010-05-17 10:12:00,17268,United Kingdom
Year 2009-2010,508522,72840,20,2010-05-17 10:14:00,15673,United Kingdom
Year 2009-2010,508523,64858,29,2010-05-17 10:15:00,12471,Germany
Year 2009-2010,508524,119350,38,2010-05-17 10:20:00,17340,United Kingdom
Year 2009-2010,508525,101296,13,2010-05-17 10:28:00,18102,United Kingdom
Year 2009-2010,508527,10620,1,2010-05-17 10:44:00,13089,United Kingdom
Year 2009-2010,508528,0,1,2010-05-17 11:07:00,,United Kingdom
Year 2009-2010,508529,336357,13,2010-05-17 11:12:00,18102,United Kingdom
Year 2009-2010,508551,45679,22,2010-05-17 11:46:00,15039,United Kingdom
Year 2009-2010,508581,107161,54,2010-05-17 11:55:00,18287,United Kingdom
Year 2009-2010,508592,38058,18,2010-05-17 12:05:00,13488,United Kingdom
Year 2009-2010,508593,92535,46,2010-05-17 12:06:00,13488,United Kingdom
Year 2009-2010,508594,179360,8,2010-05-17 12:11:00,16656,United Kingdom
Year 2009-2010,508607,0,1,2010-05-17 12:41:00,,United Kingdom
Year 2009-2010,508608,0,1,2010-05-17 12:42:00,,United Kingdom
Year 2009-2010,508610,6540,1,2010-05-17 12:52:00,14962,United Kingdom
Year 2009-2010,508611,17208,16,2010-05-17 12:52:00,14667,United Kingdom
Year 2009-2010,508612,18496,25,2010-05-17 12:57:00,12920,United Kingdom
Year 2009-2010,508614,30880,73,2010-05-17 13:18:00,13432,United Kingdom
Year 2009-2010,508615,96657,56,2010-05-17 13:22:00,14156,EIRE
Year 2009-2010,508616,14355,11,2010-05-17 13:29:00,16918,United Kingdom
Year 2009-2010,508620,44205,25,2010-05-17 13:44:00,17442,United Kingdom
Year 2009-2010,508621,20053,14,2010-05-17 13:45:00,17442,United Kingdom
Year 2009-2010,508622,34100,7,2010-05-17 13:47:00,14134,United Kingdom
Year 2009-2010,508623,10710,2,2010-05-17 13:49:00,14134,United Kingdom
Year 2009-2010,508624,37310,22,2010-05-17 13:51:00,16611,United Kingdom
Year 2009-2010,508625,21535,26,2010-05-17 14:09:00,18157,United Kingdom
Year 2009-2010,508626,35645,18,2010-05-17 14:14:00,16094,United Kingdom
Year 2009-2010,508627,12148,49,2010-05-17 14:15:00,16932,United Kingdom
Year 2009-2010,508628,14160,22,2010-05-17 14:17:00,15280,United Kingdom
Year 2009-2010,508629,21475,23,2010-05-17 14:21:00,13857,United Kingdom
Year 2009-2010,508631,290,2,2010-05-17 14:27:00,13831,United Kingdom
Year 2009-2010,508635,40163,68,2010-05-17 14:36:00,13719,United Kingdom
Year 2009-2010,508636,22975,14,2010-05-17 14:52:00,14017,United Kingdom
Year 2009-2010,508637,22000,1,2010-05-17 14:54:00,12725,Italy
Year 2009-2010,508638,0,1,2010-05-17 15:12:00,,United Kingdom
Year 2009-2010,508640,96600,4,2010-05-17 15:14:00,15769,United Kingdom
Year 2009-2010,508641,29040,12,2010-05-17 15:18:00,15311,United Kingdom
Year 2009-2010,508642,3114,11,2010-05-17 15:27:00,14078,United Kingdom
Year 2009-2010,508643,215342,200,2010-05-17 15:30:00,,United Kingdom
Year 2009-2010,508644,12870,4,2010-05-17 15:30:00,17928,United Kingdom
Year 2009-2010,508645,0,1,2010-05-17 15:33:00,,United Kingdom
Year 2009-2010,508646,18165,13,2010-05-17 15:35:00,15023,United Kingdom
Year 2009-2010,508647,6000,1,2010-05-17 15:36:00,13346,United Kingdom
Year 2009-2010,508648,0,1,2010-05-17 15:45:00,,United Kingdom
Year 2009-2010,508649,5106,2,2010-05-17 15:45:00,,United Kingdom
Year 2009-2010,508650,16989,17,2010-05-17 15:46:00,13605,United Kingdom
Year 2009-2010,508651,0,1,2010-05-17 15:46:00,,United Kingdom
Year 2009-2010,508652,42377,64,2010-05-17 15:48:00,16400,United Kingdom
Year 2009-2010,508653,17312,20,2010-05-17 15:54:00,17228,United Kingdom
Year 2009-2010,508654,210216,127,2010-05-17 15:54:00,15296,United Kingdom
Year 2009-2010,508655,0,1,2010-05-17 16:05:00,,United Kingdom
Year 2009-2010,508656,0,1,2010-05-17 16:11:00,,United Kingdom
Year 2009-2010,508657,0,1,2010-05-17 16:14:00,,United Kingdom
Year 2009-2010,508658,0,1,2010-05-17 16:17:00,,United Kingdom
Year 2009-2010,508660,0,1,2010-05-17 16:22:00,,United Kingdom
Year 2009-2010,508662,0,1,2010-05-17 16:23:00,,United Kingdom
Year 2009-2010,508663,0,1,2010-05-17 16:24:00,,United Kingdom
Year 2009-2010,508664,0,1,2010-05-17 16:25:00,,United Kingdom
Year 2009-2010,508665,0,1,2010-05-17 16:25:00,,United Kingdom
Year 2009-2010,508666,0,1,2010-05-17 16:26:00,,United Kingdom
Year 2009-2010,508667,0,1,2010-05-17 16:26:00,,United Kingdom
Year 2009-2010,508668,0,1,2010-05-17 16:27:00,,United Kingdom
Year 2009-2010,508669,0,1,2010-05-17 16:28:00,,United Kingdom
Year 2009-2010,508670,0,1,2010-05-17 16:28:00,,United Kingdom
Year 2009-2010,508671,0,1,2010-05-17 16:30:00,,United Kingdom
Year 2009-2010,508672,0,1,2010-05-17 16:31:00,,United Kingdom
Year 2009-2010,508673,0,1,2010-05-17 16:36:00,,United Kingdom
Year 2009-2010,508674,0,1,2010-05-17 16:37:00,,United Kingdom
Year 2009-2010,508676,0,1,2010-05-17 16:39:00,,United Kingdom
Year 2009-2010,508678,0,1,2010-05-17 16:41:00,,United Kingdom
Year 2009-2010,508679,0,1,2010-05-17 16:41:00,,United Kingdom
Year 2009-2010,508680,0,1,2010-05-17 16:42:00,,United Kingdom
Year 2009-2010,508682,0,1,2010-05-17 16:43:00,,United Kingdom
Year 2009-2010,508683,0,1,2010-05-17 16:43:00,,United Kingdom
Year 2009-2010,508685,0,1,2010-05-17 16:48:00,,United Kingdom
Year 2009-2010,508686,0,1,2010-05-17 16:53:00,,United Kingdom
Year 2009-2010,508688,0,1,2010-05-17 16:55:00,,United Kingdom
Year 2009-2010,508689,0,1,2010-05-17 16:55:00,,United Kingdom
Year 2009-2010,508690,0,1,2010-05-17 16:56:00,,United Kingdom
Year 2009-2010,508691,0,1,2010-05-17 16:57:00,,United Kingdom
Year 2009-2010,508692,0,1,2010-05-17 16:58:00,,United Kingdom
Year 2009-2010,508693,0,1,2010-05-17 16:58:00,,United Kingdom
Year 2009-2010,508694,0,1,2010-05-17 17:01:00,,United Kingdom
Year 2009-2010,508696,0,1,2010-05-17 17:02:00,,United Kingdom
Year 2009-2010,508697,0,1,2010-05-17 17:04:00,,United Kingdom
Year 2009-2010,508699,0,1,2010-05-17 17:04:00,,United Kingdom
Year 2009-2010,508700,0,1,2010-05-17 17:05:00,,United Kingdom
Year 2009-2010,508701,0,1,2010-05-17 17:05:00,,United Kingdom
Year 2009-2010,508702,0,1,2010-05-17 17:07:00,,United Kingdom
Year 2009-2010,508703,0,1,2010-05-17 17:10:00,,United Kingdom
Year 2009-2010,508704,0,1,2010-05-17 17:10:00,,United Kingdom
Year 2009-2010,508705,0,1,2010-05-17 17:10:00,,United Kingdom
Year 2009-2010,508706,0,1,2010-05-17 17:11:00,,United Kingdom
Year 2009-2010,508708,0,1,2010-05-17 17:12:00,,United Kingdom
Year 2009-2010,508709,0,1,2010-05-17 17:13:00,,United Kingdom
Year 2009-2010,508710,0,1,2010-05-17 17:13:00,,United Kingdom
Year 2009-2010,508711,0,1,2010-05-17 17:14:00,,United Kingdom
Year 2009-2010,508712,0,1,2010-05-17 17:14:00,,United Kingdom
Year 2009-2010,508713,0,1,2010-05-17 17:15:00,,United Kingdom
Year 2009-2010,508714,0,1,2010-05-17 17:17:00,,United Kingdom
Year 2009-2010,508715,0,1,2010-05-17 17:17:00,,United Kingdom
Year 2009-2010,508716,0,1,2010-05-17 17:18:00,,United Kingdom
Year 2009-2010,508717,0,1,2010-05-17 17:21:00,,United Kingdom
Year 2009-2010,508719,0,1,2010-05-17 17:22:00,,United Kingdom
Year 2009-2010,508720,0,1,2010-05-17 17:24:00,,United Kingdom
Year 2009-2010,508721,32078,84,2010-05-17 17:24:00,14606,United Kingdom
Year 2009-2010,508722,0,1,2010-05-17 17:24:00,,United Kingdom
Year 2009-2010,508723,0,1,2010-05-17 17:26:00,,United Kingdom
Year 2009-2010,508728,20000,1,2010-05-18 09:57:00,12349,Italy
Year 2009-2010,508730,1574,3,2010-05-18 10:07:00,,United Kingdom
Year 2009-2010,508731,32478,18,2010-05-18 10:09:00,15227,United Kingdom
Year 2009-2010,508732,51173,35,2010-05-18 10:24:00,16147,United Kingdom
Year 2009-2010,508733,61034,35,2010-05-18 10:34:00,15622,United Kingdom
Year 2009-2010,508734,6438,4,2010-05-18 10:35:00,15622,United Kingdom
Year 2009-2010,508735,55262,30,2010-05-18 10:38:00,15241,United Kingdom
Year 2009-2010,508736,67197,39,2010-05-18 10:50:00,14304,United Kingdom
Year 2009-2010,508739,41940,1,2010-05-18 11:23:00,12980,United Kingdom
Year 2009-2010,508742,48085,19,2010-05-18 11:31:00,14548,United Kingdom
Year 2009-2010,508743,36720,1,2010-05-18 11:32:00,14147,United Kingdom
Year 2009-2010,508744,34128,9,2010-05-18 11:33:00,14739,United Kingdom
Year 2009-2010,508745,4105,5,2010-05-18 11:34:00,14548,United Kingdom
Year 2009-2010,508747,92985,102,2010-05-18 11:40:00,,United Kingdom
Year 2009-2010,508748,625000,3,2010-05-18 11:45:00,17940,United Kingdom
Year 2009-2010,508750,40587,27,2010-05-18 11:48:00,13018,United Kingdom
Year 2009-2010,508751,15823,9,2010-05-18 11:49:00,13018,United Kingdom
Year 2009-2010,508752,10384,17,2010-05-18 11:49:00,14527,United Kingdom
Year 2009-2010,508753,8155,6,2010-05-18 11:50:00,13018,United Kingdom
Year 2009-2010,508755,18247,22,2010-05-18 11:53:00,12835,United Kingdom
Year 2009-2010,508756,66000,2,2010-05-18 11:56:00,13629,United Kingdom
Year 2009-2010,508757,0,1,2010-05-18 11:57:00,,United Kingdom
Year 2009-2010,508758,42085,31,2010-05-18 12:00:00,16884,United Kingdom
Year 2009-2010,508759,59752,29,2010-05-18 12:03:00,14680,United Kingdom
Year 2009-2010,508760,8160,1,2010-05-18 12:04:00,14680,United Kingdom
Year 2009-2010,508763,18605,13,2010-05-18 12:11:00,16779,United Kingdom
Year 2009-2010,508765,26980,22,2010-05-18 12:14:00,15967,United Kingdom
Year 2009-2010,508766,34825,1,2010-05-18 12:15:00,12931,United Kingdom
Year 2009-2010,508780,43683,64,2010-05-18 12:24:00,15518,United Kingdom
Year 2009-2010,508793,4004,7,2010-05-18 12:31:00,17961,United Kingdom
Year 2009-2010,508794,16740,1,2010-05-18 12:42:00,18229,United Kingdom
Year 2009-2010,508795,15300,1,2010-05-18 12:44:00,18229,United Kingdom
Year 2009-2010,508796,92516,5,2010-05-18 12:44:00,15061,United Kingdom
Year 2009-2010,508797,16624,11,2010-05-18 12:45:00,15071,United Kingdom
Year 2009-2010,508798,0,1,2010-05-18 12:46:00,,United Kingdom
Year 2009-2010,508799,0,1,2010-05-18 12:47:00,,United Kingdom
Year 2009-2010,508800,34805,12,2010-05-18 12:48:00,15311,United Kingdom
Year 2009-2010,508801,45971,36,2010-05-18 12:49:00,15422,United Kingdom
Year 2009-2010,508802,625,1,2010-05-18 12:50:00,17961,United Kingdom
Year 2009-2010,508807,10200,1,2010-05-18 12:59:00,14201,United Kingdom
Year 2009-2010,508811,45939,24,2010-05-18 13:04:00,14555,United Kingdom
Year 2009-2010,508821,103770,13,2010-05-18 13:23:00,17044,United Kingdom
Year 2009-2010,508822,59517,30,2010-05-18 13:24:00,13501,Switzerland
Year 2009-2010,508823,58868,30,2010-05-18 13:26:00,13650,United Kingdom
Year 2009-2010,508824,33410,9,2010-05-18 13:28:00,13162,United Kingdom
Year 2009-2010,508825,20714,34,2010-05-18 13:36:00,17043,United Kingdom
Year 2009-2010,508840,11294,30,2010-05-18 14:06:00,14744,United Kingdom
Year 2009-2010,508848,17379,13,2010-05-18 14:31:00,16699,United Kingdom
Year 2009-2010,508849,12395,22,2010-05-18 14:37:00,17757,United Kingdom
Year 2009-2010,508850,38947,17,2010-05-18 14:46:00,15874,United Kingdom
Year 2009-2010,508851,31750,5,2010-05-18 14:52:00,15981,United Kingdom
Year 2009-2010,508852,24140,13,2010-05-18 15:06:00,12662,Germany
Year 2009-2010,508854,179796,181,2010-05-18 15:13:00,,United Kingdom
Year 2009-2010,508855,0,1,2010-05-18 15:14:00,,United Kingdom
Year 2009-2010,508856,38214,3,2010-05-18 15:15:00,12913,United Kingdom
Year 2009-2010,508857,340,1,2010-05-18 15:25:00,,United Kingdom
Year 2009-2010,508858,19235,49,2010-05-18 15:30:00,17920,United Kingdom
Year 2009-2010,508860,0,1,2010-05-18 15:35:00,,United Kingdom
Year 2009-2010,508861,34107,78,2010-05-18 15:37:00,15984,United Kingdom
Year 2009-2010,508862,0,1,2010-05-18 15:51:00,,United Kingdom
Year 2009-2010,508863,0,1,2010-05-18 16:08:00,,United Kingdom
Year 2009-2010,508864,133804,146,2010-05-18 16:09:00,17589,United Kingdom
Year 2009-2010,508866,1320,1,2010-05-18 16:15:00,17589,United Kingdom
Year 2009-2010,508867,31035,2,2010-05-18 16:15:00,13541,United Kingdom
Year 2009-2010,508868,3450,1,2010-05-18 16:20:00,18008,United Kingdom
Year 2009-2010,508869,0,1,2010-05-18 16:23:00,,United Kingdom
Year 2009-2010,508873,34859,27,2010-05-18 16:27:00,15282,United Kingdom
Year 2009-2010,508874,45488,61,2010-05-18 16:28:00,13097,United Kingdom
Year 2009-2010,508879,12611,8,2010-05-18 16:31:00,16326,United Kingdom
Year 2009-2010,508880,21740,4,2010-05-18 16:43:00,13097,United Kingdom
Year 2009-2010,508897,19470,24,2010-05-18 17:13:00,15456,United Kingdom
Year 2009-2010,508898,60396,35,2010-05-18 17:25:00,14225,United Kingdom
Year 2009-2010,508899,59594,7,2010-05-19 08:39:00,16839,United Kingdom
Year 2009-2010,508900,30163,21,2010-05-19 08:41:00,16835,United Kingdom
Year 2009-2010,508901,32331,23,2010-05-19 09:14:00,13999,United Kingdom
Year 2009-2010,508902,0,1,2010-05-19 09:18:00,,United Kingdom
Year 2009-2010,508903,0,1,2010-05-19 09:18:00,,United Kingdom
Year 2009-2010,508904,24548,18,2010-05-19 09:20:00,14325,United Kingdom
Year 2009-2010,508905,16040,6,2010-05-19 09:49:00,17560,United Kingdom
Year 2009-2010,508906,22246,15,2010-05-19 09:53:00,13152,United Kingdom
Year 2009-2010,508907,31062,9,2010-05-19 10:00:00,16701,United Kingdom
Year 2009-2010,508908,34980,3,2010-05-19 10:02:00,13831,United Kingdom
Year 2009-2010,508909,34980,2,2010-05-19 10:11:00,13783,United Kingdom
Year 2009-2010,508910,22725,11,2010-05-19 10:14:00,13491,United Kingdom
Year 2009-2010,508912,14630,5,2010-05-19 10:21:00,17243,United Kingdom
Year 2009-2010,508914,35607,15,2010-05-19 10:27:00,16570,United Kingdom
Year 2009-2010,508915,28467,14,2010-05-19 10:33:00,16293,United Kingdom
Year 2009-2010,508917,750,1,2010-05-19 10:37:00,16699,United Kingdom
Year 2009-2010,508918,14520,1,2010-05-19 10:38:00,17262,United Kingdom
Year 2009-2010,508919,33456,3,2010-05-19 10:50:00,17930,United Kingdom
Year 2009-2010,508920,4000,1,2010-05-19 10:51:00,18194,United Kingdom
Year 2009-2010,508921,11030,5,2010-05-19 10:57:00,15912,United Kingdom
Year 2009-2010,508923,2715,8,2010-05-19 11:00:00,15912,United Kingdom
Year 2009-2010,508924,23224,21,2010-05-19 11:10:00,14035,United Kingdom
Year 2009-2010,508925,21984,2,2010-05-19 11:11:00,17413,United Kingdom
Year 2009-2010,508950,12060,2,2010-05-19 11:33:00,17382,United Kingdom
Year 2009-2010,508953,10080,2,2010-05-19 11:34:00,17382,United Kingdom
Year 2009-2010,508958,31750,1,2010-05-19 11:35:00,12823,United Kingdom
Year 2009-2010,508962,38894,18,2010-05-19 11:37:00,15636,United Kingdom
Year 2009-2010,508964,38474,15,2010-05-19 11:37:00,15738,United Kingdom
Year 2009-2010,508972,78861,87,2010-05-19 11:39:00,15727,United Kingdom
Year 2009-2010,508979,111608,104,2010-05-19 11:55:00,,United Kingdom
Year 2009-2010,508986,69348,26,2010-05-19 11:59:00,14235,United Kingdom
Year 2009-2010,508992,295,1,2010-05-19 12:16:00,,United Kingdom
Year 2009-2010,508993,23305,14,2010-05-19 12:22:00,14283,United Kingdom
Year 2009-2010,508994,35314,21,2010-05-19 12:40:00,17490,United Kingdom
Year 2009-2010,508995,39558,16,2010-05-19 12:47:00,15544,United Kingdom
Year 2009-2010,508996,31165,12,2010-05-19 12:52:00,13982,United Kingdom
Year 2009-2010,508997,21690,54,2010-05-19 13:04:00,16059,United Kingdom
Year 2009-2010,508998,16207,40,2010-05-19 13:07:00,14598,United Kingdom
Year 2009-2010,508999,15659,34,2010-05-19 13:16:00,17897,United Kingdom
Year 2009-2010,509000,40330,21,2010-05-19 13:21:00,14210,United Kingdom
Year 2009-2010,509001,16207,40,2010-05-19 13:22:00,15581,United Kingdom
Year 2009-2010,509002,30790,8,2010-05-19 13:26:00,14220,United Kingdom
Year 2009-2010,509003,0,1,2010-05-19 13:28:00,,United Kingdom
Year 2009-2010,509004,0,1,2010-05-19 13:28:00,,United Kingdom
Year 2009-2010,509005,0,1,2010-05-19 13:29:00,,United Kingdom
Year 2009-2010,509006,0,1,2010-05-19 13:29:00,,United Kingdom
Year 2009-2010,509007,0,1,2010-05-19 13:29:00,,United Kingdom
Year 2009-2010,509008,26984,12,2010-05-19 13:29:00,15157,United Kingdom
Year 2009-2010,509009,0,1,2010-05-19 13:30:00,,United Kingdom
Year 2009-2010,509010,0,1,2010-05-19 13:30:00,,United Kingdom
Year 2009-2010,509011,29975,5,2010-05-19 13:32:00,16915,United Kingdom
Year 2009-2010,509012,26155,39,2010-05-19 13:32:00,17623,United Kingdom
Year 2009-2010,509013,0,1,2010-05-19 13:35:00,,United Kingdom
Year 2009-2010,509014,34212,18,2010-05-19 13:36:00,15570,United Kingdom
Year 2009-2010,509016,0,1,2010-05-19 13:43:00,,United Kingdom
Year 2009-2010,509017,9640,3,2010-05-19 13:52:00,13164,United Kingdom
Year 2009-2010,509018,420,1,2010-05-19 14:00:00,12748,United Kingdom
Year 2009-2010,509019,13335,31,2010-05-19 14:10:00,13610,United Kingdom
Year 2009-2010,509020,6055,3,2010-05-19 14:21:00,16827,United Kingdom
Year 2009-2010,509021,78280,29,2010-05-19 14:22:00,14442,Channel Islands
Year 2009-2010,509022,38630,8,2010-05-19 14:23:00,13405,United Kingdom
Year 2009-2010,509023,14786,11,2010-05-19 14:24:00,17184,United Kingdom
Year 2009-2010,509024,8780,5,2010-05-19 14:41:00,16564,United Kingdom
Year 2009-2010,509025,165,1,2010-05-19 14:50:00,,United Kingdom
Year 2009-2010,509026,25810,6,2010-05-19 14:51:00,16103,United Kingdom
Year 2009-2010,509027,55431,80,2010-05-19 15:10:00,12837,United Kingdom
Year 2009-2010,509028,39349,23,2010-05-19 15:23:00,16717,United Kingdom
Year 2009-2010,509029,89117,23,2010-05-19 15:24:00,14031,United Kingdom
Year 2009-2010,509030,47826,68,2010-05-19 15:47:00,13764,United Kingdom
Year 2009-2010,509031,17403,21,2010-05-19 16:30:00,17950,United Kingdom
Year 2009-2010,509032,10920,8,2010-05-19 17:11:00,16664,United Kingdom
Year 2009-2010,509033,49188,75,2010-05-19 17:49:00,15879,United Kingdom
Year 2009-2010,509035,41470,19,2010-05-20 09:27:00,18172,United Kingdom
Year 2009-2010,509037,100000,1,2010-05-20 09:39:00,13953,United Kingdom
Year 2009-2010,509038,35340,12,2010-05-20 09:53:00,15410,United Kingdom
Year 2009-2010,509039,38910,21,2010-05-20 09:55:00,14156,EIRE
Year 2009-2010,509040,32559,16,2010-05-20 10:00:00,16351,United Kingdom
Year 2009-2010,509041,47689,28,2010-05-20 10:04:00,14334,United Kingdom
Year 2009-2010,509043,20250,4,2010-05-20 10:16:00,14952,United Kingdom
Year 2009-2010,509044,9180,4,2010-05-20 10:17:00,14952,United Kingdom
Year 2009-2010,509046,930,1,2010-05-20 10:37:00,15777,United Kingdom
Year 2009-2010,509047,41680,5,2010-05-20 10:42:00,13952,United Kingdom
Year 2009-2010,509049,13620,9,2010-05-20 10:56:00,15401,United Kingdom
Year 2009-2010,509050,109070,78,2010-05-20 10:56:00,13448,United Kingdom
Year 2009-2010,509051,16533,20,2010-05-20 11:04:00,15854,United Kingdom
Year 2009-2010,509055,43490,11,2010-05-20 11:19:00,13983,United Kingdom
Year 2009-2010,509061,46500,1,2010-05-20 11:31:00,16422,United Kingdom
Year 2009-2010,509071,33985,17,2010-05-20 11:41:00,16471,United Kingdom
Year 2009-2010,509075,34855,12,2010-05-20 11:42:00,,United Kingdom
Year 2009-2010,509100,43182,93,2010-05-20 11:49:00,17841,United Kingdom
Year 2009-2010,509115,121573,59,2010-05-20 11:55:00,17716,United Kingdom
Year 2009-2010,509117,32304,54,2010-05-20 11:56:00,17797,United Kingdom
Year 2009-2010,509118,60998,23,2010-05-20 11:57:00,16303,United Kingdom
Year 2009-2010,509133,34492,23,2010-05-20 12:05:00,14527,United Kingdom
Year 2009-2010,509134,21230,28,2010-05-20 12:16:00,17068,United Kingdom
Year 2009-2010,509136,24719,15,2010-05-20 12:19:00,16497,United Kingdom
Year 2009-2010,509137,11185,6,2010-05-20 12:20:00,16497,United Kingdom
Year 2009-2010,509139,40529,24,2010-05-20 12:26:00,14291,United Kingdom
Year 2009-2010,509141,21465,11,2010-05-20 12:27:00,14291,United Kingdom
Year 2009-2010,509142,54892,12,2010-05-20 12:43:00,16985,United Kingdom
Year 2009-2010,509143,18485,5,2010-05-20 12:44:00,16985,United Kingdom
Year 2009-2010,509145,11349,21,2010-05-20 12:50:00,17346,United Kingdom
Year 2009-2010,509146,31238,20,2010-05-20 12:53:00,13797,United Kingdom
Year 2009-2010,509148,14963,15,2010-05-20 12:55:00,17372,United Kingdom
Year 2009-2010,509150,10585,15,2010-05-20 12:59:00,13616,United Kingdom
Year 2009-2010,509151,27341,60,2010-05-20 13:06:00,14606,United Kingdom
Year 2009-2010,509152,85,1,2010-05-20 13:09:00,14606,United Kingdom
Year 2009-2010,509153,144232,19,2010-05-20 13:15:00,14828,United Kingdom
Year 2009-2010,509154,27230,7,2010-05-20 13:17:00,14911,EIRE
Year 2009-2010,509155,43496,66,2010-05-20 13:18:00,17758,United Kingdom
Year 2009-2010,509156,63608,74,2010-05-20 13:28:00,15025,United Kingdom
Year 2009-2010,509157,50972,12,2010-05-20 13:28:00,14101,United Kingdom
Year 2009-2010,509158,8836,27,2010-05-20 13:28:00,14850,United Kingdom
Year 2009-2010,509159,22959,45,2010-05-20 13:39:00,15005,United Kingdom
Year 2009-2010,509160,8112,1,2010-05-20 13:41:00,17740,United Kingdom
Year 2009-2010,509161,38496,56,2010-05-20 13:42:00,14850,United Kingdom
Year 2009-2010,509162,0,1,2010-05-20 13:51:00,,United Kingdom
Year 2009-2010,509163,20287,10,2010-05-20 13:54:00,15311,United Kingdom
Year 2009-2010,509164,36555,21,2010-05-20 13:56:00,16177,United Kingdom
Year 2009-2010,509165,110940,62,2010-05-20 14:06:00,15559,United Kingdom
Year 2009-2010,509166,68793,33,2010-05-20 14:45:00,15615,United Kingdom
Year 2009-2010,509167,29555,19,2010-05-20 14:50:00,13213,United Kingdom
Year 2009-2010,509168,6350,1,2010-05-20 15:03:00,16705,United Kingdom
Year 2009-2010,509169,5088,1,2010-05-20 15:06:00,16705,United Kingdom
Year 2009-2010,509170,43312,10,2010-05-20 15:09:00,16705,United Kingdom
Year 2009-2010,509173,49524,30,2010-05-20 15:51:00,17465,United Kingdom
Year 2009-2010,509175,34340,21,2010-05-20 16:05:00,15768,United Kingdom
Year 2009-2010,509178,30670,10,2010-05-20 16:34:00,16604,United Kingdom
Year 2009-2010,509184,36467,63,2010-05-20 16:49:00,16347,United Kingdom
